DATE,BLAST,Pit,Ore/Waste,Type of Material,Diameter,Lenght,Length Total,Subdrill,Burden,Spacing,Stemming,Total of Holes,Weight (kg),BCM,PF (kg/m3),Meters Drilled (m),Burden Old,Spacing Old,Stemming Old,Total of Holes Old,Weight Old,PF (kg/m3) Old,Meters Drilled Old,D20,D50,D80,Xmas (mm),Uniformity index,Initiation System,Number of Photos Analysed,Actual powder factor,Planned powder factor,Passing on 600 mm pourcentage
2025-01-04 00:00:00,Kp_220-210_113,30,1,10140,140,10,11,1,3.5,3.9,2.7,182,25787,24843,1.0,1841,3.2,4.3,2.7,178.49,23872.65,0.96,1784.86,31.86,99.12,223.4,511,1.27,Nonel,7,1.1,1.11,100
2025-01-04 00:00:00,Kp_220-210_116,30,2,10140,140,10,11,1,3.5,3.9,2.7,117,18271,15970.5,1.1,1267,3.6,3.6,2.7,113.79,15220.20,0.95,1137.95,31.86,99.12,223.4,511,1.27,Nonel,7,1.1,1.11,100
2025-01-04 00:00:00,Kp_220-210_117,30,1,10140,140,10,11,1,3.5,3.9,2.7,213,31248,29074.5,1.1,2209,3,4,2.7,233.62,31247.29,1.07,2336.23,35.9,103.58,214.29,414,1.36,Nonel,7,1.1,1.11,100
2025-01-04 00:00:00,Kp_220-210_118,30,1,10140,140,10,11,1,3.5,3.9,2.7,169,25355,23068.5,1.1,1784,3,4,2.7,182.11,24357.21,1.06,1821.08,35.9,103.58,214.29,414,1.36,Nonel,7,1.1,1.11,100
2025-01-04 00:00:00,Kp_220-210_119,30,1,10140,140,10,11,1,3.9,3.9,2.7,263,35184,37602.162,0.9,2476,3.2,4.3,2.7,290.27,38823.71,1.03,2902.68,36.51,97.68,190.78,386,1.43,Nonel,7,0.9,1.02,100
2025-01-05 00:00:00,Hn2_171-165_112,2,1,10140,127,6,6.8,0.8,2.8,3.1,2.8,594,37191,30935.52,1.2,3829,2.6,3,2.8,615.27,33823.75,1.09,3691.60,37.31,109.1,255.31,559,1.29,Nonel,7,1.1,1.16,100
2025-01-05 00:00:00,Hn2_171-165_914,2,2,20127,127,6,6.8,0.8,3.1,3.4,2.7,83,5185,5491.34,0.9,521,3.2,3.4,2.7,80.41,4000.64,0.73,482.44,49.88,145.72,283.53,502,1.4,Nonel,7,1.0,0.96,100
2025-01-05 00:00:00,Hn2_171-165_915,2,2,20127,127,6,6.8,0.8,3.1,3.4,2.7,92,6792,6324,1.1,600,3.2,3.4,2.7,89.12,4434.45,0.70,534.75,49.88,145.72,283.53,502,1.4,Nonel,7,1.0,0.96,100
2025-01-08 00:00:00,Kp_220-210_120,30,2,10140,140,10,11,1,3.5,3.9,2.7,152,16758,15902.25,1.1,1165,3.8,3.8,2.7,143.68,19217.93,1.21,1436.84,44.47,127.97,277.97,481,1.36,Nonel,6,0.8,0.92,100
2025-01-08 00:00:00,Kp_220-210_121,30,1,10140,140,10,11,1,3.5,3.9,2.7,136,15080,14482.65,1.0,1061,3.2,4.3,2.7,134.91,18044.74,1.25,1349.13,44.47,127.97,277.97,481,1.36,Nonel,6,0.8,0.92,100
2025-01-08 00:00:00,Kp_220-210_301,30,1,10140,140,10,11,1,3.5,3.9,2.7,105,7681,14332.5,0.5,539,3.2,4.3,2.7,202.91,27139.48,1.89,2029.10,37.7,118.04,259.14,434,1.28,Nonel,6,0.8,0.86,100
